row	depth	verdict	method	seconds	max_entry	witness_L0	witness_L1	exact_lp	exact_infeasible	deletions_covered	fp_levels_tried
2917082	23	REALIZABLE	walk	10.48	16384	yes	yes				
2927497	16	REALIZABLE	walk	1.42	256	yes	yes				
2955134	23	REALIZABLE	walk	2.41	16384	yes	yes				
2963994	17	REALIZABLE	walk	6.68	1024	yes	yes				
2971832	21	REALIZABLE	store_walk	1.18	256	yes	yes				
2972286	16	REALIZABLE	walk	1.09	1024	yes	yes				
3008848	19	REALIZABLE	store_walk	1.29	1024	yes	yes				
3028937	19	REALIZABLE	walk	36.54	1024	yes	yes				
3032526	20	REALIZABLE	walk	2.41	1024	yes	yes				
3049200	19	REALIZABLE	walk	115.89	1024	yes	yes				
3052236	20	REALIZABLE	walk	18.11	1024	yes	yes				
3072854	20	REALIZABLE	walk	13.71	16384	yes	yes				
3102244	21	REALIZABLE	walk	1.88	4096	yes	yes				
3109487	20	REALIZABLE	walk	2.04	1024	yes	yes				
3110852	18	REALIZABLE	store_walk	1.17	256	yes	yes				
3133872	16	REALIZABLE	walk	45.26	16384	yes	yes				
3144919	17	REALIZABLE	walk	2.46	1024	yes	yes				
3145203	18	REALIZABLE	walk	4.46	16384	yes	yes				
3169660	19	REALIZABLE	walk	92.46	1024	yes	yes				
3172786	18	REALIZABLE	walk	23.64	16384	yes	yes				
3180653	19	REALIZABLE	walk	5.65	16384	yes	yes				
3191077	21	REALIZABLE	walk	4.02	8192	yes	yes				
3193338	16	REALIZABLE	store	0.17	4096	yes	yes				
3193344	19	REALIZABLE	walk	9.92	1024	yes	yes				
3202535	16	REALIZABLE	walk	9.89	64	yes	yes				
3242686	18	REALIZABLE	walk	43.23	8192	yes	yes				
3258103	16	REALIZABLE	fresh	1.23	64	yes	yes				
3271807	24	REALIZABLE	walk	3.67	16384	yes	yes				
3281611	19	REALIZABLE	walk	4.45	1024	yes	yes				
3281692	22	REALIZABLE	walk	32.22	1024	yes	yes				
3300476	20	REALIZABLE	walk	1.26	1024	yes	yes				
3309238	19	REALIZABLE	walk	20.55	16384	yes	yes				
3311701	26	REALIZABLE	walk	15.14	1024	yes	yes				
3329017	19	REALIZABLE	store	0.69	4096	yes	yes				
3343276	17	REALIZABLE	walk	2.52	256	yes	yes				
3355052	19	REALIZABLE	walk	1.85	1024	yes	yes				
3375322	18	REALIZABLE	walk	42.36	1024	yes	yes				
3380682	16	REALIZABLE	walk	15.13	1024	yes	yes				
3388902	19	REALIZABLE	walk	1.94	512	yes	yes				
3404375	21	REALIZABLE	walk	1.33	1024	yes	yes				
3485456	20	REALIZABLE	walk	14.05	16384	yes	yes				
3496132	19	REALIZABLE	walk	6.24	1024	yes	yes				
3497798	19	REALIZABLE	walk	7.90	1024	yes	yes				
3569788	24	REALIZABLE	walk	1.93	1024	yes	yes				
3572151	15	REALIZABLE	walk	0.75	1024	yes	yes				
3584761	18	REALIZABLE	walk	10.79	1024	yes	yes				
3584854	19	REALIZABLE	walk	4.85	1024	yes	yes				
3610937	19	REALIZABLE	fresh	2.27	512	yes	yes				
3611074	18	REALIZABLE	walk	3.32	1024	yes	yes				
3615914	19	REALIZABLE	walk	12.61	262144	yes	yes				
3639895	18	REALIZABLE	walk	42.36	262144	yes	yes				
3640543	21	REALIZABLE	walk	2.97	16384	yes	yes				
3644142	19	REALIZABLE	walk	79.74	1024	yes	yes				
3654633	18	REALIZABLE	walk	6.22	1024	yes	yes				
3654683	21	REALIZABLE	walk	12.19	1024	yes	yes				
3673625	18	REALIZABLE	walk	17.97	1024	yes	yes				
3674773	17	REALIZABLE	store_walk	1.53	8192	yes	yes				
3674842	22	REALIZABLE	walk	7.92	1024	yes	yes				
3718175	16	REALIZABLE	walk	2.89	16384	yes	yes				
